Transcription-Units,Genes of transcription unit,Left-End-Position,Right-End-Position,Transcription-Direction
,G133T-991,938265,939443,+
,G133T-990,936190,938085,+
,G133T-989,935906,936049,+
 //  // ,G133T-988 // G133T-987 // G133T-986,935133 // 934408 // 933776,935840 // 935121 // 934417,+
,G133T-985,933178,933651,+
,G133T-984,932214,933131,+
,G133T-983,930969,932129,+
,G133T-982,930263,930886,-
,G133T-981,930099,930169,+
 // ,G133T-980 // G133T-979,929705 // 929230,929908 // 929703,-
,G133T-978,928943,929212,+
,G133T-977,928295,928831,+
 //  //  // ,G133T-976 // G133T-975 // G133T-974 // G133T-973,927061 // 926208 // 925213 // 924299,928191 // 927038 // 926211 // 925195,+
,G133T-972,922569,924020,-
,G133T-971,922345,922542,+
,G133T-970,920739,922094,-
,G133T-969,918929,920701,+
,G133T-968,917924,918619,+
,G133T-967,917613,917774,-
,G133T-966,917325,917528,+
,G133T-965,916407,917183,-
 //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  // ,G133T-964 // G133T-963 // G133T-962 // G133T-961 // G133T-960 // G133T-959 // G133T-958 // G133T-957 // G133T-956 // G133T-955 // G133T-954 // G133T-953 // G133T-952 // G133T-951 // G133T-950 // G133T-949 // G133T-948 // G133T-947 // G133T-946,916247 // 915893 // 915815 // 915735 // 915614 // 915529 // 915431 // 915341 // 915246 // 915165 // 915076 // 914988 // 914903 // 914822 // 914696 // 914616 // 914491 // 911452 // 909730,916328 // 915978 // 915885 // 915806 // 915685 // 915601 // 915501 // 915422 // 915318 // 915237 // 915149 // 915061 // 914975 // 914893 // 914784 // 914687 // 914606 // 914379 // 911284,+
 //  //  //  //  //  //  //  //  // ,G133T-96 // G133T-95 // G133T-94 // G133T-93 // G133T-92 // G133T-91 // G133T-90 // G133T-89 // G133T-88 // G133T-87,88727 // 87634 // 87401 // 86946 // 86587 // 85737 // 84874 // 84290 // 82771 // 81771,90226 // 88635 // 87610 // 87449 // 86949 // 86594 // 85755 // 84874 // 84276 // 82697,+
,G133T-945,908554,909438,+
,G133T-944,907993,908346,-
,G133T-943,907521,907958,+
,G133T-942,906925,907398,+
,G133T-941,905483,906772,-
,G133T-940,904202,905263,-
,G133T-939,902383,904125,+
,G133T-938,901765,902295,+
,G133T-937,901298,901621,+
,G133T-936,900934,901188,+
,G133T-935,900113,900865,+
,G133T-934,899807,900031,-
,G133T-933,898690,899799,+
,G133T-932,897491,898474,-
,G133T-931,894913,897498,+
,G133T-930,893852,894841,+
,G133T-929,893586,893720,-
 // ,G133T-928 // G133T-927,892759 // 892440,893619 // 892772,+
,G133T-926,891837,892355,+
,G133T-925,891423,891692,+
,G133T-924,891146,891298,-
,G133T-923,889920,891113,+
 // ,G133T-922 // G133T-921,889463 // 888667,889777 // 889461,+
 // ,G133T-920 // G133T-919,887667 // 887502,888578 // 887630,-
,G133T-918,887244,887435,-
,G133T-917,886621,887205,+
,G133T-916,885652,886533,+
 // ,G133T-915 // G133T-914,884506 // 883508,885537 // 884509,+
 // ,G133T-913 // G133T-912,883313 // 882400,883477 // 883377,-
,G133T-911,879812,882382,+
,G133T-910,879158,879640,-
,G133T-909,877491,879047,-
,G133T-908,876958,877494,+
 // ,G133T-907 // G133T-906,875581 // 874998,876834 // 875615,-
,G133T-905,873874,874962,+
,G133T-904,873053,873685,+
,G133T-903,872833,872964,+
,G133T-902,872232,872780,-
 //  //  //  //  // ,G133T-901 // G133T-900 // G133T-899 // G133T-898 // G133T-897 // G133T-896,871002 // 869798 // 868850 // 868703 // 868044 // 866896,872159 // 870988 // 869785 // 868843 // 868706 // 868047,+
,G133T-895,866808,866924,+
 //  // ,G133T-894 // G133T-893 // G133T-892,865540 // 864589 // 863114,866721 // 865530 // 864562,+
,G133T-891,861995,862939,+
 // ,G133T-890 // G133T-889,861044 // 860622,861901 // 861026,+
 // ,G133T-888 // G133T-887,858653 // 856938,860467 // 858659,+
 // ,G133T-886 // G133T-885,855249 // 854470,856832 // 855234,+
,G133T-884,853056,854405,+
 //  //  //  // ,G133T-883 // G133T-882 // G133T-881 // G133T-880 // G133T-879,852406 // 851177 // 850398 // 849809 // 849257,852720 // 852400 // 851165 // 850366 // 849799,-
,G133T-878,848878,849207,-
,G133T-877,848663,848842,+
,G133T-876,846792,848609,+
 //  //  // ,G133T-875 // G133T-874 // G133T-873 // G133T-872,845300 // 844083 // 843041 // 842036,846676 // 845279 // 844069 // 843037,+
 // ,G133T-871 // G133T-870,841115 // 840633,841804 // 841085,+
,G133T-869,839460,840437,+
,G133T-868,836436,837836,+
,G133T-867,835459,836322,+
,G133T-866,834381,835340,-
,G133T-865,833422,834282,-
,G133T-864,832593,833384,+
,G133T-863,832307,832492,+
 // ,G133T-862 // G133T-861,831041 // 830198,832162 // 831034,-
,G133T-860,829365,830159,+
,G133T-86,80802,81695,+
 // ,G133T-859 // G133T-858,828239 // 828099,829294 // 828242,+
,G133T-857,826896,828071,-
 //  // ,G133T-856 // G133T-855 // G133T-854,825870 // 825526 // 825038,826697 // 825846 // 825508,+
,G133T-853,824811,824954,+
,G133T-852,824620,824835,-
,G133T-851,823337,824527,-
,G133T-850,822779,823297,+
 // ,G133T-85 // G133T-84,79880 // 79212,80755 // 79868,+
,G133T-849,818148,822395,-
,G133T-848,817446,818111,+
 // ,G133T-847 // G133T-846,816590 // 814884,817306 // 816569,+
,G133T-845,813401,814813,+
 //  //  // ,G133T-844 // G133T-843 // G133T-842 // G133T-841,811667 // 810532 // 810316 // 809216,813208 // 811686 // 810516 // 810292,-
,G133T-840,807753,809219,+
,G133T-839,807284,807679,+
,G133T-838,805081,807030,-
,G133T-837,803690,805048,+
,G133T-836,802769,803518,-
,G133T-835,802373,802687,-
,G133T-834,802111,802266,-
,G133T-833,801817,801954,-
,G133T-832,801111,801776,+
,G133T-831,800769,801044,-
,G133T-830,799687,800778,+
,G133T-83,76984,78897,+
,G133T-829,798774,799568,+
,G133T-828,797417,798718,+
 //  //  // ,G133T-827 // G133T-826 // G133T-825 // G133T-824,797248 // 796262 // 795579 // 793979,797373 // 797221 // 796259 // 795598,+
,G133T-823,792416,793852,+
,G133T-822,791027,792289,+
,G133T-821,790489,790836,+
,G133T-820,789877,790245,-
 // ,G133T-82 // G133T-81,76344 // 74929,76886 // 76347,+
,G133T-819,788821,789768,-
 //  // ,G133T-818 // G133T-817 // G133T-816,787748 // 786750 // 785937,788749 // 787751 // 786737,-
,G133T-815,785572,785691,-
 // ,G133T-814 // G133T-813,785403 // 783901,785528 // 785364,+
,G133T-812,782345,783565,-
,G133T-811,781821,782054,+
,G133T-810,780844,781863,-
,G133T-809,780345,780791,+
,G133T-808,779147,780277,+
,G133T-807,777418,778974,-
,G133T-806,777178,777381,+
,G133T-805,776893,777105,-
,G133T-804,775662,776852,+
,G133T-803,775174,775596,+
,G133T-802,774603,775049,+
,G133T-801,772591,774480,+
 // ,G133T-800 // G133T-799,771596 // 770125,772456 // 771582,+
,G133T-80,73896,74825,+
,G133T-8,6994,9459,+
,G133T-798,768490,769875,-
,G133T-797,767691,768398,-
,G133T-796,766351,767580,-
,G133T-795,765445,766320,+
 //  // ,G133T-794 // G133T-793 // G133T-792,764206 // 763266 // 762337,765384 // 764177 // 763242,+
,G133T-791,761503,762267,+
 // ,G133T-790 // G133T-789,761269 // 759306,761454 // 761267,+
,G133T-79,73106,73843,+
,G133T-788,759035,759172,-
,G133T-787,755716,758901,+
,G133T-786,754496,755566,-
,G133T-785,753352,754461,+
,G133T-784,752686,753189,-
 // ,G133T-783 // G133T-782,751670 // 751026,752662 // 751670,+
,G133T-781,750749,750916,+
,G133T-780,749031,749525,-
